model,accuracy,precision,recall,f1,roc_auc,confusion_matrix
GaussianNB,0.9965844570617459,0.99487895716946,0.999142834878828,0.9970063372341667,0.9961732092219288,"[[9645, 66], [11, 12822]]"
RandomForest,0.9520493257629524,0.981639344262295,0.9332190446505104,0.9568170015579435,0.9550762095871232,"[[9487, 224], [857, 11976]]"
KNN,0.8102377572746629,0.9322890348660939,0.7188498402555911,0.8117740232312566,0.82492795791999,"[[9041, 670], [3608, 9225]]"
SVC,0.8435060326472675,0.9321073650970558,0.7820462869165433,0.8505084745762712,0.8533854130494568,"[[8980, 731], [2797, 10036]]"
AdaBoost,1.0,1.0,1.0,1.0,1.0,"[[9711, 0], [0, 12833]]"
